[2017/6/7 15:10:04]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:05]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:06]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:07]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:08]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:09]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:10]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:11]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:12]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:13]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:14]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:15]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:16]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:17]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:18]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:19]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:20]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:21]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:23]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
